#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	vgg19	1000	0.0	0.0	4	2.0	0.0	True	avg	0000	False	True	0	0.23800436864002572
##########
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	vgg19	1000	0.0	0.0	4	2.0	0.0	True	avg	0000	False	True	0	1.0
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	vgg16	1000	0.0	0.0	4	2.0	0.0	True	avg	0000	False	True	0	1.0
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	resnet50	1000	0.0	0.0	4	2.0	0.0	True	avg	0000	False	True	0	1.0
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	resnet152	1000	0.0	0.0	4	2.0	0.0	True	avg	0000	False	True	0	1.0
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	resnetv2_50	1000	0.0	0.0	4	2.0	0.0	True	avg	0000	False	True	0	1.0
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	resnet101	1000	0.0	0.0	4	2.0	0.0	True	avg	0000	False	True	0	1.0
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	resnetv2_101	1000	0.0	0.0	4	2.0	0.0	True	avg	0000	False	True	0	1.0
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	resnetv2_152	1000	0.0	0.0	4	2.0	0.0	True	avg	0000	False	True	0	1.0
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	resnext50	1000	0.0	0.0	4	2.0	0.0	True	avg	0000	False	True	0	1.0
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	densenet121	1000	0.0	0.0	4	2.0	0.0	True	avg	0000	False	True	0	1.0
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	resnext101	1000	0.0	0.0	4	2.0	0.0	True	avg	0000	False	True	0	1.0
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	densenet169	1000	0.0	0.0	4	2.0	0.0	True	avg	0000	False	True	0	1.0
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	densenet201	1000	0.0	0.0	4	2.0	0.0	True	avg	0000	False	True	0	1.0
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	mobilenetv2	1000	0.0	0.0	4	2.0	0.0	True	avg	0000	False	True	0	1.0
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	nasnet	1000	0.0	0.0	4	2.0	0.0	True	avg	0000	False	True	0	1.0
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	nasnet	1000	0.0	0.0	4	2.0	0.0	True	avg	0000	False	True	0	1.0
#dataset	network	m	label_corruption	confusion	number_layers	sigmaw	sigmab	binarized	pooling	intermediate_pooling	whitening	training	n_gpus	bound
mnist	nasnet	1000	0.0	0.0	4	2.0	0.0	True	avg	0000	False	True	0	1.0
